,number_of_dialog,start_time,end_time,dialog
296,458,"00:21:27,489","00:21:29,532","Hell isn't good, hell isn't good No!"
297,459,"00:21:40,418","00:21:43,504","Parents, our children are out of control!"
298,460,"00:21:43,588","00:21:47,299",This is what happens when toilet humor is allowed to run rampant!
299,461_462,"00:21:47,384","00:21:52,471",That's right. Kenny set himself on fire because he saw Terrance and Phillip do it in that dirty movie!
300,463,"00:21:52,556","00:21:55,891",We must stop dirty language from getting to our children's ears!
301,464,"00:21:55,976","00:21:57,977",We must go fight the source of it!
302,465,"00:21:58,061","00:21:59,728",But what is the source?
303,466,"00:21:59,813","00:22:01,480",Oh! That's easy.
304,467_468_469,"00:22:01,773","00:22:09,405",Times have changed Our kids are getting worse They won't obey their parents They just want to fart and curse Should we blame the government?
305,470,"00:22:09,489","00:22:10,990",Or blame society?
306,471,"00:22:11,074","00:22:13,450",Or should we blame the images on TV?
307,472,"00:22:13,535","00:22:15,494",No! Blame Canada!
308,473,"00:22:15,579","00:22:16,996",Blame Canada!
309,474_475,"00:22:17,080","00:22:23,210",With all their beady little eyes and flapping heads so full of lies Blame Canada! Blame Canada!
310,476_477,"00:22:23,295","00:22:26,589",We need to form a full assault It's Canada's fault!
311,478_479_480_481_482,"00:22:26,756","00:22:41,979","Don't blame me for my son Stan He saw the darn cartoon and now he's off to join the Klan And my boy Eric once had my picture on his shelf But now when I see him he tells me to fuck myself Well, Blame Canada! Blame Canada!"
312,483_484,"00:22:42,063","00:22:48,360",It seems that everything's gone wrong since Canada came along Blame Canada! Blame Canada!
313,485_486_487_488,"00:22:48,445","00:23:00,873","They're not even a real country anyway My son could've been a doctor or a lawyer rich and true Instead, he burned up like a piggy on a barbecue Should we blame the matches? Should we blame the fire?"
314,489,"00:23:00,957","00:23:03,167",Or the doctors who allowed him to expire?
315,490,"00:23:03,251","00:23:04,210","Heck, no!"
316,491,"00:23:04,294","00:23:07,046",Blame Canada! Blame Canada!
317,492_493_494,"00:23:07,130","00:23:13,510","With all their hockey hullabaloo And that bitch Anne Murray, too Blame Canada! Shame on Canada!"
318,495_496_497_498_499,"00:23:13,595","00:23:23,062",For The smut we must stop The trash we must bash The laughter and fun must all be undone We must blame them and cause a fuss Before somebody thinks of blaming us!
319,500,"00:23:29,069","00:23:30,986","All right, you turds, listen up!"
320,501,"00:23:31,071","00:23:34,865",Your moms are away at a meeting and they put me in charge of you!
321,502,"00:23:34,950","00:23:38,244","But you're still grounded, so you're not allowed to have any fun!"
322,503,"00:23:38,328","00:23:41,497","- Any questions? - Shelly, where's the clitoris?"
323,504_505,"00:23:43,500","00:23:49,505",Now you all just sit there and keep your mouths shut while I go listen to my Britney Spears records.
324,506,"00:23:51,633","00:23:52,675","Okay, it's clear."
325,507,"00:23:54,719","00:23:57,263",Our next guests have the number one movie in the world right now.
326,508,"00:23:57,347","00:23:59,265",Please welcome Terrance and Phillip!
327,509_510,"00:24:00,433","00:24:05,437","Hooray! - Hello, Conan. - Hello, Brooke Shields."
328,511_512,"00:24:05,522","00:24:09,733","Now, guys, some people claim that your Canadian humor is nothing but immature fart jokes."
329,513,"00:24:09,818","00:24:13,612","That's not true. Take this classic Canadian joke, for instance."
330,514,"00:24:13,697","00:24:15,114","Excuse me, Terrance."
331,515,"00:24:15,198","00:24:16,198","Yes, Phillip?"
332,516,"00:24:18,451","00:24:19,451",Gosh darn it!
333,517,"00:24:20,870","00:24:22,913","- Good one, Phillip. Cheers. - Cheers, fuck-face."
334,518,"00:24:22,998","00:24:24,790","Guys, you can't say that on TV."
335,519,"00:24:24,874","00:24:26,250",Now Terrance smells like my ass!
336,520,"00:24:27,419","00:24:30,254",I farted once on the set of Blue Lagoon.
337,521,"00:24:34,467","00:24:37,052","So, guys, does it make you nervous to be in America?"
338,522_523,"00:24:37,137","00:24:40,556",There are a lot of organizations here that want you arrested for destroying children.
339,524,"00:24:40,640","00:24:43,058",- Oh! They'd have to find us first. - You're right.
340,525_526_527,"00:24:43,143","00:24:50,024","Now! Terrance and Phillip, Mothers Against Canada is placing you under citizen's arrest!"
341,528,"00:24:50,108","00:24:51,650","- Mom? - Dude, what the hell is going on?"
342,529,"00:24:51,735","00:24:53,986",We have a court order for your arrest!
343,530,"00:24:54,070","00:24:55,654","Phillip, we've been ambushed!"
344,531,"00:24:55,739","00:24:57,323","Here you go, Conan."
345,532,"00:24:57,407","00:24:59,616",This little scrotum sucker deceived us!
346,533,"00:24:59,701","00:25:01,994","- You are a bad man! - Don't listen to them, Conan!"
347,534,"00:25:02,078","00:25:04,663","You loved our movie, Conan! We watched it together!"
348,535,"00:25:04,748","00:25:07,791",- Remember? You laughed! - What have I done?
349,536,"00:25:16,593","00:25:20,596",Holy crap! Did you see that? They arrested Terrance and Phillip!
350,537_538_539,"00:25:24,934","00:25:29,355","As the Canadian Ambassador, I hereby condemn the actions taken by America in apprehending Terrance and Phillip."
351,540_541,"00:25:30,565","00:25:34,109","As you can see from this graph, the entire economy of Canada relies on Terrance and Phillip!"
352,542,"00:25:34,194","00:25:36,945","Without them, we are doomed to recession."
353,543,"00:25:37,197","00:25:40,199","What say you, Mr. American Ambassador?"
354,544,"00:25:42,452","00:25:44,703","- Fuck Canada! - Hey, fuck you, buddy!"
355,545,"00:25:44,788","00:25:46,663",Terrance and Phillip will not be released!
356,546,"00:25:46,748","00:25:49,750",They're going to be put on trial for corrupting America's youth.
357,547,"00:25:49,834","00:25:51,377",We don't know what all the fuss is about.
358,548,"00:25:51,461","00:25:53,253",The fuss is aboot taking our citizens!
359,549,"00:25:53,338","00:25:55,881",It's aboot not censoring our art! It's aboot... It's aboot...
360,550,"00:25:57,300","00:25:58,801",What's so goddamn funny?
361,551,"00:25:58,885","00:26:00,260","Nothing, nothing."
362,552,"00:26:00,345","00:26:03,514",Could you tell us again what your argument is all about?
363,553,"00:26:03,598","00:26:06,058","This is not aboot diplomacy, this is aboot dignity!"
364,554,"00:26:07,185","00:26:09,853",This is aboot respect! This is aboot realizing that humor...
365,555_556,"00:26:10,397","00:26:14,983",You guys are dicks! Release Terrance and Phillip or we'll give you something to cry aboot!
366,557,"00:26:27,414","00:26:30,040",Pilot to bombardier. Pilot to bombardier. We're nearing the target.
367,558,"00:26:30,125","00:26:31,458","The bomb's ready, buddy."
368,559,"00:26:32,669","00:26:34,920","Baldwin residence. No, this is Billy Baldwin."
369,560,"00:26:35,004","00:26:38,757","If you want Daniel Baldwin, call his extension, stupid!"
370,561,"00:26:38,842","00:26:41,510","Hey, Alec, do you know what sucks about being a Baldwin?"
371,562,"00:26:41,594","00:26:43,929","- No, what? - Nothing! Yeah!"
372,563,"00:26:51,187","00:26:52,771",You missed me!
373,564_565,"00:26:56,443","00:27:00,946","All right, children, your mothers are all making me throw away my lesson plan and teach theirs."
374,566,"00:27:01,030","00:27:03,365","Mr. Garrison, how come our moms arrested Terrance and Phillip?"
375,567,"00:27:03,450","00:27:04,783",- Yeah! - That's gay.
376,568,"00:27:05,118","00:27:06,869","Well, your moms are just upset."
377,569,"00:27:06,953","00:27:08,579",They're probably all on their periods or something.
378,570,"00:27:09,747","00:27:12,958","Mr. Garrison, Wendy and I think that was a sexist statement."
379,571_572,"00:27:13,042","00:27:17,880","Well, I'm sorry, Wendy, but I just don't trust anything that bleeds for five days and doesn't die."
380,573,"00:27:17,964","00:27:21,133","Anyway, children, let's start off with some vocabulary."
381,574,"00:27:21,217","00:27:23,302","- Attention, students! - Oh! What now?"
382,575_576,"00:27:23,386","00:27:27,764","Come to the gymnasium immediately for a special announcement, m'kay?"
383,577,"00:27:30,602","00:27:33,187","- What's going on, Chef? - Something big, children."
384,578,"00:27:33,271","00:27:35,397","Chef, I can't find the clitoris. You have to help me."
385,579,"00:27:35,482","00:27:36,857","Stan, the clitoris..."
386,580,"00:27:36,941","00:27:40,944","Please take your seats, everyone. They're about to announce it, m'kay?"
387,581,"00:27:41,029","00:27:42,529",This is a state of emergency.
388,582_583,"00:27:42,614","00:27:46,783",We go now to the White House for an announcement from the President of the United States.
389,584_585_586,"00:27:46,868","00:27:56,627","My fellow Americans, at 5:00 a.m. today, a day which will live in infamy, the Canadians have bombed the Baldwins."
390,587,"00:27:56,711","00:28:01,131","In response to this, the U.S. has declared war on Canada."
391,588,"00:28:03,676","00:28:05,385","- Oh, no! - War?"
392,589,"00:28:05,470","00:28:08,514","- No, Gregory! No! - This is bad, Wendy. Hold on to me."
393,590,"00:28:08,598","00:28:10,265",All the Baldwins are dead?
394,591,"00:28:10,350","00:28:13,435",Now it is the time for us to send a message to Canadians.
395,592_593,"00:28:13,520","00:28:18,732","In two days time, the war criminals Terrance and Phillip will be executed."
396,594,"00:28:19,567","00:28:20,859",They're gonna kill them?
397,595_596,"00:28:20,944","00:28:26,865","And now I'd like to bring up my newly appointed Secretary of Offense, Ms. Sheila Broflovski."
398,597,"00:28:26,950","00:28:28,200","Holy shit, dude!"
399,598_599,"00:28:28,284","00:28:33,872","My fellow Americans, our neighbor to the north has abused us for the last time!"
400,600_601,"00:28:33,957","00:28:38,710",- I have a plan... - The Canadians want to fight us because we won't tolerate their potty mouths!
401,602,"00:28:38,795","00:28:43,882","Well, if it is war they want, then war they shall have!"
402,603,"00:28:46,302","00:28:50,180","- Dude, this is fucking weak. - How could things be any worse?"
403,604,"00:29:01,734","00:29:04,820","Fallen one, I am Satan."
404,605,"00:29:04,904","00:29:07,406",I am your god now.
405,606,"00:29:10,034","00:29:11,994",There is no escape.
406,607,"00:29:15,081","00:29:18,000","Now, feel the delightful pain."
407,608,"00:29:18,793","00:29:21,837","Hey, Satan, did you hear the news?"
408,609,"00:29:21,921","00:29:24,506",A war just broke out up on Earth.
409,610,"00:29:24,591","00:29:27,801","Meet Saddam Hussein, my new partner in evil."
410,611,"00:29:28,970","00:29:30,679","Move over, Satan, you're hogging all the fun."
411,612,"00:29:30,763","00:29:33,974","Yeah! Yeah! Man, this is getting me so hot!"
412,613,"00:29:35,184","00:29:36,977","Saddam, would you let me do my job, please?"
413,614,"00:29:37,061","00:29:39,605","Come on, rub my nipples while I torture this little piggy!"
414,615,"00:29:39,689","00:29:42,941","Saddam, could I talk to you over here for a second?"
415,616,"00:29:44,235","00:29:47,696",I don't see why you have to belittle me in front of people like that.
416,617,"00:29:47,780","00:29:49,531","Aye! Relax, guy!"
417,618,"00:29:49,616","00:29:52,534","Well, sometimes I think you don't have any respect for me."
418,619,"00:29:52,619","00:29:54,661","Hey, come here, guy."
419,620,"00:29:55,580","00:29:58,206",- Who's my cream puff? - I am.
420,621,"00:29:58,291","00:29:59,416","That's right, buddy."
421,622_623,"00:30:03,630","00:30:06,965","- Dude, I don't want to be at war. - You don't think they're really gonna kill Terrance and Phillip, do you?"
422,624_625,"00:30:07,050","00:30:10,218","Kyle, you need to stop being such a chicken shit and stand up to your mother."
423,626_627_628,"00:30:10,303","00:30:15,223","You need to smack her in the face and say, ""That's enough of your shit, you fucking bitch!"" Don't call my mom a bitch, Cartman!"
424,629,"00:30:15,308","00:30:17,100",You guys stop it! This isn't helping!
425,630,"00:30:17,185","00:30:18,310",We've gotta think here!
426,631,"00:30:18,394","00:30:20,646","Now, let's see, what would Brian Boitano do?"
427,632,"00:30:20,730","00:30:23,231","Yeah, what would Brian Boitano do?"
428,633,"00:30:26,069","00:30:27,402","Hey, what's going on over there?"
429,634,"00:30:27,487","00:30:30,155",The American government thinks it has the right to police the world.
430,635_636,"00:30:30,239","00:30:35,994","Your government is going to kill two Canadian citizens, an action condemned by the U. N. Home of the free, indeed."
431,637,"00:30:37,664","00:30:39,331",- Let's play tetherball. - Yeah.
432,638,"00:30:39,415","00:30:42,042",This is about freedom of speech! About censorship!
433,639,"00:30:42,126","00:30:43,377",Can't you guys be more political like Gregory?
434,640_641_642_643_644,"00:30:43,461","00:31:00,060","There's the girI that I like Now it appears that she likes another guy It must be because he's political and stuff I bet I could be political, too What do you think, Stan?"
435,645,"00:31:02,855","00:31:05,524","- Damn it! - You guys, this is all Kyle's mom's fault!"
436,646,"00:31:05,608","00:31:06,566","Shut up, Cartman!"
437,647_648,"00:31:06,651","00:31:10,862","Kyle's mom is the one that started that damn club, and all because she's a big, fat, stupid..."
438,649,"00:31:10,947","00:31:12,781","Don't say it, Cartman!"
439,650_651,"00:31:12,865","00:31:15,784","Well... Don't do it, Cartman!"
440,652_653,"00:31:16,119","00:31:19,663",Well... - I'm warning you! - Okay. Okay.
441,654,"00:31:20,248","00:31:21,957",I'm getting pretty sick of him calling my mom...
442,655_656_657_658_659,"00:31:22,041","00:31:31,425","well, Kyle's mom's a bitch She's a big fat witch She's the biggest bitch in the whole wide world She's a stupid bitch if there ever was a bitch She's a bitch to all the boys and girls Shut your fucking mouth, Cartman!"
443,660_661_662_663,"00:31:31,509","00:31:38,890","On Monday she's a bitch On Tuesday she's a bitch And Wednesday through Saturday she's a bitch Then on Sunday, just to be different She's a super King Kamehameha bitch!"
444,664,"00:31:38,975","00:31:40,559","Come on, you all know the words!"
445,665,"00:31:40,643","00:31:41,935",Have you ever met my friend Kyle's mom?
446,666_667_668_669_670_671_672_673,"00:31:42,019","00:32:09,421","She's the biggest bitch in the whole wide world She's a mean old bitch and she has stupid hair She's a bitch, bitch, bitch, bitch Bitch, bitch, bitch, bitch She's a stupid bitch Kyle's mom's a bitch and she's just a dirty bitch Talk to kids around the world It might go a little bit something like this Have you ever met my friend Kyle's mom?"
447,674_675_676_677_678,"00:32:09,505","00:32:17,763","She's the biggest bitch in the whole wide world She's a mean old bitch and she has stupid hair She's a bitch, bitch, bitch, bitch Bitch, bitch, bitch, bitch, bitch She's a stupid bitch Cartman..."
448,679_680_681_682_683_684,"00:32:17,847","00:32:32,486","Kyle's mom's a bitch and she's just a dirty bitch I really mean it Kyle's mom She's a big fat fucking bitch Big, old, fat fucking bitch, Kyle's mom Yeah!"
449,685_686_687_688,"00:32:37,533","00:32:44,790","What? Oh! Fuck. Okay, everyone settle down."
450,689_690,"00:32:44,874","00:32:51,087","As we continue to send troops into Canada, M.A.C. is also fighting the war against potty mouths here at home!"
451,691,"00:32:51,172","00:32:54,674",Here to present the V-Chip is Dr. Vosknocker.
452,692,"00:32:58,137","00:33:00,472",The machinery of the V-Chip is very simple.
453,693_694_695,"00:33:00,556","00:33:06,269",It is placed under the child's skin where it emits a small shock of electricity whenever an obscenity is uttered.
454,696,"00:33:06,354","00:33:07,646","Now, wait a minute."
455,697,"00:33:07,730","00:33:10,148",This chip somehow knows if the child is swearing?
456,698,"00:33:10,233","00:33:11,483",It's just like a lie detector.
457,699_700,"00:33:11,567","00:33:14,569","You see, certain things happen to you when you swear, just like when you lie."
458,701,"00:33:14,654","00:33:18,156",The chip picks up on this and gives the subject a little prick.
459,702,"00:33:18,241","00:33:21,076","Patient B5, would you step out here, please?"
460,703,"00:33:21,160","00:33:24,579",Patient B5 here has been fitted with the new V-Chip.
461,704,"00:33:24,664","00:33:26,540",- Ow! My head hurts. - Don't worry about that.
462,705_706,"00:33:26,624","00:33:32,921","Now I want you to say ""doggy."" - Doggy. - Notice that nothing happens."
463,707,"00:33:33,005","00:33:36,383","- Now say ""Montana."" - Montana."
464,708_709,"00:33:36,467","00:33:40,345","Good! Now, ""pillow."" - Pillow. - All right."
465,710_711,"00:33:40,429","00:33:46,309","Now I want you to say ""horse fucker."" Go ahead, Eric. It's all right."
466,712_713,"00:33:46,394","00:33:51,857","Horse... That hurt, goddamn... Fuck!"
467,714_715,"00:33:51,941","00:33:56,486","Now I'd like you to say ""big floppy donkey dick."" - No! - Success!"
468,716,"00:33:56,571","00:33:58,613",The child doesn't want to swear!
469,717,"00:33:58,698","00:33:59,823","This isn't fair, you sons of bitches!"
470,718,"00:34:00,992","00:34:05,203",We will start putting V-Chips in all our children next week!
471,719,"00:34:07,999","00:34:11,293",Snacky Smores presents The March of War.
472,720,"00:34:11,711","00:34:13,044",Let's hear it for our boys in blue.
473,721_722,"00:34:13,129","00:34:16,756",President Clinton has called them to action to fight the eviI Canadian scourge.
474,723_724_725,"00:34:16,841","00:34:23,847",A full-scale attack has been launched on Toronto after the Canadians' last bombing which took a horrible toll on the Arquette family.
475,726_727_728,"00:34:23,931","00:34:29,811","For security measures, our great American government is rounding up all citizens that have any Canadian blood and putting them into camps."
476,729_730,"00:34:29,896","00:34:33,607",All Canadian-American citizens are to report to one of these death camps right away.
477,731,"00:34:33,691","00:34:34,733",Did I say death camps?
478,732_733,"00:34:34,817","00:34:40,447","I meant happy camps, where you will eat the finest meals, have access to fabulous doctors and be able to exercise regularly."
479,734_735,"00:34:40,531","00:34:44,451","Meanwhile, the war criminals Terrance and Phillip are prepped for their execution."
480,736,"00:34:44,535","00:34:48,121",Their execution will take place during a fabulous USO show!
481,737,"00:34:48,205","00:34:52,083","With special guests celebrities, including Big Gay Al and Winona Ryder!"
482,738_739,"00:34:52,168","00:34:56,379","Of course, the only way to see the USO show is to sign up for the army!"
483,740_741,"00:34:56,464","00:35:02,594",So join the army and kill some Canadian scum as we continue the march of war!
484,742,"00:35:06,933","00:35:10,518",We must rid ourselves of anything Canadian!
485,743,"00:35:11,270","00:35:12,270",Bomb them!
486,744,"00:35:12,855","00:35:14,814","Dude, don't you like Terrance and Phillip anymore?"
487,745_746,"00:35:14,899","00:35:18,735",Course not! My mommy says I hate Canadians now 'cause they made me have a dirty mouth!
488,747,"00:35:18,819","00:35:20,487",Burn it all!
489,748,"00:35:21,155","00:35:23,114","- Hey, dudes. - What's the matter, Cartman?"
490,749,"00:35:23,199","00:35:26,326",It's this V-Chip. I hate it. I can't say any dirty words.
491,750,"00:35:26,410","00:35:28,787","- Really? So you can't say ""fuck""? - No."
492,751,"00:35:28,871","00:35:30,789","- And you can't say ""shit""? - No."
493,752_753,"00:35:30,873","00:35:33,792","So you can't say, ""I'm Eric Cartman, ""the fattest fucking piece of shit in the world""?"
494,754,"00:35:33,876","00:35:36,127",- Fuck you... - Sweet.
495,755,"00:35:36,212","00:35:37,879","Come on, you guys. This has gone far enough."
496,756,"00:35:37,964","00:35:39,506",It's time we talked to our moms.
497,757,"00:35:39,590","00:35:41,132",We're supposed to be grounded in our rooms.
498,758,"00:35:41,217","00:35:43,468","Come on, Kyle, it's time for us to get political."
499,759,"00:35:43,552","00:35:46,638",Canada will no longer corrupt our children!
500,760,"00:35:46,722","00:35:50,100","- Mom, can I talk to you for a second? - Kyle, what are you doing here?"
501,761,"00:35:50,184","00:35:51,476",You are grounded!
502,762,"00:35:51,560","00:35:53,812",Now get back to the house and stay there!
503,763,"00:35:53,896","00:35:55,313","You too, Stanley!"
504,764,"00:35:55,398","00:35:58,358","Mom, we think you're going too far. You can't kill Terrance and Phillip."
505,765,"00:35:58,442","00:36:00,235",We must fight for our children's futures...
506,766,"00:36:01,404","00:36:02,404",You started a war! You have to stop it!
507,767,"00:36:02,488","00:36:04,489",...to make them safe again!
508,768,"00:36:04,573","00:36:06,825",- Hello? - Our children are precious!
509,769,"00:36:06,909","00:36:09,995",- Hello! - We must make a stand now!
510,770,"00:36:10,079","00:36:11,830",Stop at nothing!
511,771,"00:36:12,206","00:36:13,498",I told you my mom wouldn't listen.
512,772,"00:36:13,582","00:36:16,001","Well, then we're just gonna have to save Terrance and Phillip ourselves!"
513,773,"00:36:16,085","00:36:17,627","- What? - Think about it, you guys."
514,774,"00:36:17,712","00:36:18,920",What would Brian Boitano do?
515,775_776,"00:36:19,005","00:36:21,673",He'd figure out a way to rescue Terrance and Phillip before they're executed.
516,777,"00:36:21,757","00:36:24,384",We can't do anything. Our moms' organization is too strong.
517,778_779,"00:36:24,468","00:36:27,846","Well, then, we'll round up all the grounded kids in town and start our own organization."
518,780,"00:36:27,930","00:36:29,848",An organization to help save Terrance and Phillip.
519,781,"00:36:29,932","00:36:32,017","Hey, yeah, our own secret club!"
520,782,"00:36:32,101","00:36:34,853",- I guess that could work. - We have to try.
521,783,"00:36:34,937","00:36:38,023",What would Brian Boitano do if he was here right now?
522,784_785_786_787_788_789_790,"00:36:38,107","00:36:58,251",He'd make a plan and he'd follow through That's what Brian Boitano would do When Brian Boitano was in the Olympics skating for the gold He did two salchows and a triple Lutz while wearing a blindfold When Brian Boitano was in the Alps fighting grizzly bears He used his magical fire breath and saved the maidens fair So what would Brian Boitano do if he were here today?
523,791_792_793_794_795_796_797_798_799,"00:36:58,335","00:37:25,361","I'm sure he'd kick and ass or two That's what Brian Boitano would do I want this V-Chip out of me It has stunted my vocabulary And I just want my mom to stop fighting everyone For Wendy I'll be an activist, too 'Cause that's what Brian Boitano would do What would Brian Boitano do? He'd call all the kids in town And tell them to unite for truth That's what Brian Boitano would do - Did someone say my name? - Who are you?"
524,800,"00:37:25,446","00:37:27,614",- I'm Brian Dennehy. - What?
525,801,"00:37:27,698","00:37:30,617","- No, not fucking Brian Dennehy! - Yeah. Get the fuck out of here!"
526,802,"00:37:30,701","00:37:32,410",Oh! Bye.
527,803_804_805_806_807_808_809_810_811_812_813_814_815,"00:37:32,828","00:38:09,072","When Brian Boitano traveled through time To the year 3010 He fought the evil robot king and saved the human race again And when Brian Boitano built the pyramids He beat up Kublai Khan 'Cause Brian Boitano doesn't take shit from anybody So let's call all the kids together and unite to stop our moms And we'll save Terrance and Phillip, too 'Cause that's what Brian Boitano would do And we'll save Terrance and Phillip, too 'Cause that's what Brian Boitano would do 'Cause that's what Brian Boitano would do Hey, relax, guy."
528,816,"00:38:09,156","00:38:11,241",Oh! There's nothing on.
529,817,"00:38:11,325","00:38:13,118","You just get cranky when you're tired, that's all."
530,818,"00:38:13,202","00:38:14,244",I'm not cranky.
531,819_820,"00:38:14,370","00:38:19,124",What started as a spat between the United States and Canada is quickly turning into World War lll!
532,821,"00:38:19,208","00:38:20,542",- World War lll? - Shh!
533,822_823,"00:38:20,626","00:38:23,461",Terrance and Phillip are going to be put to death for crimes against humanity.
534,824,"00:38:23,546","00:38:24,546",The time of execution...
535,825,"00:38:25,714","00:38:29,259",It has come to be. The four horsemen are drawing nigh!
536,826,"00:38:29,343","00:38:31,970",The time of prophecy is upon us!
537,827,"00:38:32,054","00:38:33,888","I love when you get all biblical, Satan."
538,828,"00:38:33,973","00:38:35,473",You know exactly how to turn my crank.
539,829,"00:38:35,558","00:38:38,685","No, I'm being serious. It is the seventh sign."
540,830,"00:38:39,186","00:38:40,728",- What? - Behold.
541,831,"00:38:40,813","00:38:43,648",The first signs of my reign have all come true.
542,832_833_834,"00:38:43,732","00:38:53,825","The fall of an empire, the coming of a comet, and now, when the blood of these Canadians touches American soil, it will be our time to rise."
543,835,"00:38:54,994","00:38:58,329","Yeah. Yeah, man! I'm getting so hot! Let's fuck!"
544,836,"00:38:58,414","00:38:59,956",Do you always think about sex?
545,837,"00:39:00,040","00:39:02,542",I'm talking about very important stuff here!
546,838,"00:39:02,626","00:39:05,628",I'm just excited about taking over the world! Come on!
547,839,"00:39:05,713","00:39:08,131",Is sex the only thing that matters to you?
548,840,"00:39:08,215","00:39:09,591",I love you.
549,841,"00:39:10,885","00:39:12,343",I want to believe that.
550,842,"00:39:12,428","00:39:16,222","So what do you say we shut off that light and get close, huh?"
551,843,"00:39:18,726","00:39:20,185",Oh! Ow!
552,844,"00:39:20,269","00:39:22,687","Yeah, you like that, don't you, bitch?"
553,845,"00:39:25,608","00:39:28,526",Okay. We can use my dad's computer to call all the kids together.
554,846_847,"00:39:28,611","00:39:32,864","Wait. Before we put a message out, do a search on the word ""clitoris."" Oh! Okay."
555,848_849,"00:39:34,116","00:39:37,202","Found eight million pages with the word ""clitoris."" Wow!"
556,850_851_852,"00:39:37,286","00:39:46,586","I'll just try the first one. ""You must be 18 to enter this website."" Okay. ""Welcome to German sick fetish video."" ""If you are under 18 do not..."" Okay."
557,853,"00:39:50,007","00:39:51,549","Dude, it's a lady getting pooed on!"
558,854,"00:39:51,634","00:39:54,052",- Whoa! Is it Cartman's mom? - Very funny.
559,855,"00:39:54,136","00:39:55,803",Hey! It is Cartman's mom!
560,856,"00:39:56,972","00:39:58,223",All righty then.
561,857,"00:39:58,307","00:39:59,724",Son of a bitch...
562,858,"00:40:01,143","00:40:02,727","Get out of here, Ike. You're too young for this stuff."
563,859_860,"00:40:02,811","00:40:04,896",Bullshit. What's she doing now?
564,861_862,"00:40:06,106","00:40:12,737","Okey-dokey. Click it off, dude! Click it off!"
565,863,"00:40:12,821","00:40:14,572","Dude, what the fuck is wrong with German people?"
566,864_865,"00:40:14,657","00:40:17,784",All right. All right. Let's just do what we came here to do and put a message out to kids!
567,866,"00:40:17,868","00:40:20,328",Okay. Let's see. I've gotta put out an all-access e-mail.
568,867,"00:40:20,412","00:40:21,788","Goddamn, your mom sucks, Cartman."
569,868,"00:40:21,872","00:40:23,039",Just get to the message board!
570,869,"00:40:23,123","00:40:26,626",I'm trying. I can't find a Canadian server. I've got to break into the mainframe.
571,870,"00:40:26,710","00:40:30,421","Damn it, they've got an access code! I'll try to reroute the encryptions."
572,871_872,"00:40:33,801","00:40:43,518","Okay. Here we go. ""Want to help Terrance and Phillip?"" - Tell them we'll have punch and pie. - We're not gonna have punch and pie!"
573,873,"00:40:43,602","00:40:47,272",More people will come if they think we have punch and pie!
574,874_875,"00:40:49,024","00:40:54,529","""This is top secret. The password is..."" La R sistance."
575,876_877,"00:40:55,364","00:41:00,410",And so the draft will begin tomorrow as more and more troops are needed to invade the Canadian border.
576,878_879,"00:41:00,494","00:41:05,081","The Canadian government pleads for a peaceful resolution, but naturally we're not listening."
577,880,"00:41:05,332","00:41:06,416","Good night, hon."
578,881,"00:41:06,500","00:41:08,793","Mom, when is the war gonna be over?"
579,882,"00:41:08,877","00:41:11,170","I don't know, hon. Soon, we hope."
580,883,"00:41:11,255","00:41:13,589","You want it to end quickly, huh?"
581,884,"00:41:15,467","00:41:17,427","- Mom? - Yes, hon?"
582,885,"00:41:17,511","00:41:21,472","If you were in a German Schei e video, you'd tell me, right?"
583,886,"00:41:22,683","00:41:24,600","Sure, hon. Good night."
584,887,"00:41:34,653","00:41:35,653",There's a ghost!
585,888,"00:41:37,323","00:41:38,698","Kenny, is that you?"
586,889,"00:41:41,160","00:41:42,660",Satan! Satan is coming here?
587,890,"00:41:44,079","00:41:46,539","Saddam Hussein? That doesn't make sense, Kenny!"
588,891,"00:41:49,793","00:41:52,503","- Eric, what is it? - I saw him! I saw Kenny!"
589,892,"00:41:52,588","00:41:55,840",Oh! You poor dear. You've been through so much.
590,893,"00:41:55,924","00:41:58,134",I bet him he couldn't light a fart on fire and now he's all pissed off!
591,894,"00:41:59,303","00:42:00,845","I can't say ""pissed off""?"
592,895,"00:42:02,931","00:42:05,391",The execution of Terrance and Phillip is imminent.
593,896,"00:42:05,476","00:42:08,019","Soon, Saddam and I will rule the world."
594,897,"00:42:10,272","00:42:13,274","Hi, Satan. I got some new luggage for our trip up to Earth."
595,898,"00:42:13,359","00:42:14,442",Let's fuck to celebrate.
596,899,"00:42:14,526","00:42:17,695","What's it like up on Earth, Saddam? Tell me about it again."
597,900,"00:42:17,780","00:42:19,822",Let's not talk. Let's get busy.
598,901,"00:42:19,907","00:42:21,699",Do you remember when you first got here?
599,902,"00:42:21,784","00:42:24,869",We used to talk all night long until the sun came up.
600,903,"00:42:24,953","00:42:27,622",We would just lie in bed and talk.
601,904,"00:42:27,706","00:42:30,333","Well, yeah, 'cause I was still waiting to get you in bed, dummy!"
602,905,"00:42:30,417","00:42:32,877",How come you always wanna make love to me from behind?
603,906,"00:42:32,961","00:42:35,671",Is it because you want to pretend I'm somebody else?
604,907,"00:42:35,756","00:42:38,299","Satan, your ass is gigantic and red."
605,908,"00:42:38,384","00:42:41,427","Who am I gonna pretend you are, Liza Minnelli?"
606,909,"00:42:42,805","00:42:45,139",Ah! Don't get all pissy!
